Beer,Review,similarity_score
Kentucky Brunch Brand Stout,sampled brewery bottle version beer pours viscous blackish brown color light brownish lacing good head retention beer pours like motor oil look beer seen serious barrel aging assume nose rich decadent showcasing maple syrup dark chocolate chocolate brownie vanilla light coffee noticeable bourbon smell like might pretty good albeit sweet rich flavor profile replicates nose pretty closely maple syrup vanilla bourbon taking center stage beer sweet quite bit maple flavor perhaps flaw mouthfeel full long soft finish beer come across viscous palate carbonation fairly low think work well mouthfeel beer finish beer go forever alcohol well integrated flavor profile though abv actually relatively low ba stout day event tell abv beer there heat flavor alcohol obviously excellent ba impy stout justify hype price tag cant answer depends consumer suppose ill say good beer one im happy tried,0.1392621247645582
Kentucky Brunch Brand Stout,perfect barrel aged stout overly sweet nice barrel note coffee maple delish,0.0
Kentucky Brunch Brand Stout,flirtation maple come crescendo toppling goliath imperial maple coffee bourbon barrel aged stout kentucky brunch brand stout show something special pours inky impression black brandy equipped sticky legging swirling around ominously still beer sultry savory ohso seductive scent pull onyxblack beer mouth water scent espresso dark chocolate maple sweet bourbon port wine expectedly sweet toasty malt bring flavor mapledipped chocolate chocolate covered espresso bean bourbon ball candy whisky laced molasses bold savory sweet mouth coating middle palate boldness stout remains check roasty edge pull sweetness espresso roast toasty smoky baker chocolate trend spicy lightly bitter balancing chest warming offset bourbon caramel vanilla toasted oak peppery whisky flavor closure obviously full rich lavishly malted start finish stout finish drying track offpastry mouthfeel spice light bitterness portlike warmth masterful stout belongs lofty pedestal,0.23847859005514915
Kentucky Brunch Brand Stout,flirtation maple come crescendo toppling goliath imperial maple coffee bourbon barrel aged stout kentucky brunch brand stout show something special pours inky impression black brandy equipped sticky legging swirling around ominously still beer sultry savory ohso seductive scent pull onyxblack beer mouth water scent espresso dark chocolate maple sweet bourbon port wine expectedly sweet toasty malt bring flavor mapledipped chocolate chocolate covered espresso bean bourbon ball candy whisky laced molasses bold savory sweet mouth coating middle palate boldness stout remains check roasty edge pull sweetness espresso roast toasty smoky baker chocolate trend spicy lightly bitter balancing chest warming offset bourbon caramel vanilla toasted oak peppery whisky flavor closure obviously full rich lavishly malted start finish stout finish drying track offpastry mouthfeel spice light bitterness portlike warmth masterful stout belongs lofty pedestal,0.23847859005514915
Kentucky Brunch Brand Stout,tap tg part kbbs release day rating version perfect black color amazing blend richness dessert coffee barrel perfectly complimentary overpowering sweetness palatable rather making teeth hurt mouthfeel thick silky overall one best beer ive,0.0
Kentucky Brunch Brand Stout,perfect black color didnt see much foam brown ring smell perfect blend maple coffee chocolate bourbon taste strong maple almost strong chocolate follows coffee bourbon vanilla sweet mouthfeel thick smooth lucious full nice overall wonderful beer much maple flavor one favorite beer,0.21997067253203004
Kentucky Brunch Brand Stout,amazing stout expensive worth price,0.0
Vanilla Bean Assassin,ever jumped beer southeast atl havent beer prefect like assault taste bud,0.0
Vanilla Bean Assassin,fantastic vanilla came perfectly beer great thickness life hype thick anazing,0.17407765595569785
Vanilla Bean Assassin,black thick appearance head barely even collar lacing whiskey barrel mellowed nicely vanilla la marshmallow milk chocolate latte moderate thick body light carbonation delicious,0.11322770341445959
Vanilla Bean Assassin,bottle snifter share dc aroma super wow vanilla,0.20412414523193154
Vanilla Bean Assassin,vintage one follow review highest rated beer ba review highest rated beer course im excited another massive milestone review beer couldnt think better way celebrate legendary beer let pop bad boy open find pours completely pitch black finger frothy light tan head quickly fade thin ring leaf minimal lacing there massive punch vanilla nose there also nice fruitiness complex im picking aroma vanilla bean red grape milk chocolate toasted oak jammy blackberry molasses sweet bourbon burnt caramel brown sugar evolution taste damn tasty front end sip im tasting chocolate fudge sweet bourbon vanilla bean jammy blackberry raisin toasted oak fruity coffee burnt caramel molasses light walnut swallow brings note vanilla extract red grape brown sugar charred oak sweet bourbon molasses jammy blackberry burnt caramel chocolate fudge light fig marshmallow medium full body pair gentle tingling carbonation resulting slick beer finish tad sticky doesnt hurt drinkability beer absolutely worthy milestone review aroma bit concerned would simplistic despite good much vanilla great stuff,0.35783002674779574
Abraxas - Barrel-Aged,man brew goodive wanting try year ever since original abraxas back ive pining get hand bottle look standard fare stout dark thick looking little foam speak leg side glass doesnt look sticky appearance wise nose freaking superb oak chocolate cinnamon bourbon roasted malt typically reminds street cart style pretzel dark fruit like fig warms mild ethanol presence crazy thing considered taste nearly good nose roasted malt chocolate cinnamon come together decadent fashion like malted milk ball cinnamon ice cream sweet think pepper hidden barrel aging manifest heat back throat much flavor slight issue astringency barrel aging sometimes barrel roasted malt ethanol come together create almost soapy taste feel silght still exists mid palate want flavor crescendo little harmoniously mouthfeel great well thick smooth silky almost fluffy cloying oily tannin astringency emerges well offensive mild alcohol burn yeah real deal pretty much close perfection brew get dont believe objective perfect beer strengthen one aspect might inevitably weaken another one show true skill care mastering craft rated website reason,0.037662178857735464
Abraxas - Barrel-Aged,newbie share prefered mellowed booze little bit pepper nice vanilla mixed cinnamon well done well would happily revisit,0.12909944487358058
Abraxas - Barrel-Aged,pours rich deep dark brown aroma wonderfully sweet intense equal note chocolate vanilla bourbon chili cinnamon caramel taste follows even pleasing aroma plenty enjoyable well balanced flavor chocolate fudge chili vanilla caramel toffee plenty cinnamon full bodied one best stout,0.39283710065919325
