,aroma,balanced,black,bodied,body,boozy,bourbon,caramel,carbonation,chocolate,coffee,dark,deep,finish,fruit,funk,light,malt,mouthfeel,roasted,smooth,sweet,thick,thin,vanilla,vintage
aroma,0.0,0.3928532559405042,0.9745028046914839,0.07027027027027027,0.3451269451269451,0.484206081081081,0.9893262276360868,0.8764619164619164,0.13063795502819894,1.0057343347404197,0.8360590622571452,0.9962004723169772,0.8155049786628733,0.030471179143745513,0.8332403577955179,0.453058321479374,0.46607436165447214,0.8608108108108107,0.18363963963963964,0.9722098569157394,0.20659459459459456,0.7297818049263135,0.4087868690608416,0.8001903311762465,0.8975278596131675,0.07485311398354877
balanced,0.3928532559405042,0.0,0.16132708623527922,0.6979865771812079,0.2989627821842587,0.8015939597315436,0.8309481047357973,0.4080841976815131,0.3823320783543406,0.6243652749227439,0.6146407358963911,0.298846680132925,0.0843783115506888,0.5675001484825086,0.5933506890539539,0.45001766160367357,0.3188661055285698,0.4205083067444163,0.7695302013422817,0.7544413738649822,1.1115436241610737,0.5436629553477906,0.2928197113174588,0.0,0.6078437609338719,0.09293843011380215
black,0.9745028046914839,0.16132708623527922,0.0,0.05450733752620545,0.2521440823327616,0.281692216981132,0.6545486757020108,0.4188393367638651,0.0977143733701488,0.7720030107033056,0.7807784274720195,0.9724003175184709,0.8961436610393909,0.0709077753659487,0.1853443452181114,0.0,0.5644219743563015,0.5089957727600783,0.08012578616352202,0.9897891231964485,0.1068343815513627,0.2624544055452551,0.8232101318170071,1.0438922845247585,0.46518525142329126,0.7257770485826269
bodied,0.07027027027027027,0.6979865771812079,0.05450733752620545,0.0,0.0,0.7109374999999999,0.5859154929577466,0.5909090909090908,1.7615176151761518,0.5010141987829615,0.4568690095846645,0.3281553398058252,0.17105263157894737,0.8053097345132744,0.3238434163701068,0.456140350877193,0.718232044198895,0.4795081967213114,1.3866666666666667,0.5352941176470588,1.2133333333333334,0.32562620423892097,0.41552511415525106,0.09154929577464788,0.6469194312796208,0.0
body,0.3451269451269451,0.2989627821842587,0.2521440823327616,0.0,0.0,0.5568181818181818,0.3764404609475032,0.506198347107438,1.9315102241931512,0.3794947446063065,0.3842579146093523,0.3978817299205648,0.08791866028708134,0.8803968892464468,0.3329019734713685,0.4298245614035087,1.1690105474635863,0.49292101341281674,1.0542424242424242,0.2882352941176471,0.9503030303030303,0.4033981432825363,0.6712328767123287,0.34507042253521125,0.39056441189142604,0.19367588932806326
boozy,0.484206081081081,0.8015939597315436,0.281692216981132,0.7109374999999999,0.5568181818181818,0.0,1.2196082746478873,0.8143465909090909,0.5664380081300813,0.9993502789046653,0.9062749600638977,0.8986802184466018,0.19644325657894735,1.1010094026548671,0.4781750444839857,0.0,0.3299378453038674,0.8566214139344263,0.44789062499999993,0.6147518382352941,0.7464843749999999,1.0355852601156068,0.6817208904109588,0.21027728873239435,0.9552169727488151,0.10818614130434782
bourbon,0.9893262276360868,0.8309481047357973,0.6545486757020108,0.5859154929577466,0.3764404609475032,1.2196082746478873,0.0,1.7617413572343152,0.23341348906446815,2.172893751964118,1.9606173783917564,1.3170299466703133,0.3187361008154188,0.5557771407204288,0.5363941657059796,0.0,0.5799470858298965,1.434022165781575,0.48447887323943667,2.343231151615576,0.7536338028169015,0.9542294227794513,0.44244645957939416,0.37909145010910533,2.2450837727788535,0.15603184323331293
caramel,0.8764619164619164,0.4080841976815131,0.4188393367638651,0.5909090909090908,0.506198347107438,0.8143465909090909,1.7617413572343152,0.0,0.4237250554323725,1.2862161165406603,1.1933343014812663,1.1975375110326567,0.2857356459330143,0.3587288817377313,1.2055807182141702,0.0,0.9838146659969864,1.4951937406855442,0.20268181818181819,1.3285026737967915,0.46327272727272734,1.2217813977929584,0.43630136986301377,0.12234314980793853,1.7702068074105988,0.06294466403162055
carbonation,0.13063795502819894,0.3823320783543406,0.0977143733701488,1.7615176151761518,1.9315102241931512,0.5664380081300813,0.23341348906446815,0.4237250554323725,0.0,0.18908623163310742,0.2316423803215668,0.1810087615439261,0.20442875481386394,1.084658368707581,0.23959147064780256,0.4997147339894452,0.8154561379867943,0.1485739037718246,1.7780758807588077,0.1827833572453372,1.2429268292682927,0.3692059463947241,0.5911942681070647,0.29176686133058516,0.1840827649982661,0.15011193590196772
chocolate,1.0057343347404197,0.6243652749227439,0.7720030107033056,0.5010141987829615,0.3794947446063065,0.9993502789046653,2.172893751964118,1.2862161165406603,0.18908623163310742,0.0,2.2910847714650475,1.4601862974851807,0.48453346855983775,0.4688111436213179,0.4828091501663864,0.0,0.7495545369986442,1.3503391746749578,0.38762677484787017,2.4397685240424773,0.7235699797160244,0.9709341181160526,0.6371946983800606,0.3275719224066509,2.020803091623968,0.1404444836405327
