Beer,Review,similarity_score
Kentucky Brunch Brand Stout,sampl breweri bottl version beer pour viscou blackish brown color light brownish lace good head retent beer pour like motor oil look beer seen seriou barrel age assum nose rich decad showcas mapl syrup dark chocol chocol browni vanilla light coffe notic bourbon smell like might pretti good albeit sweet rich flavor profil replic nose pretti close mapl syrup vanilla bourbon take center stage beer sweet quit bit mapl flavor perhap flaw mouthfeel full long soft finish beer come across viscou palat carbon fairli low think work well mouthfeel beer finish beer goe forev alcohol well integr flavor profil though abv actual rel low ba stout day event tell abv beer there heat flavor alcohol obvious excel ba impi stout justifi hype price tag cant answer depend consum suppos ill say good beer one im happi tri,0.17407765595569785
Kentucky Brunch Brand Stout,perfect barrel age stout overli sweet nice barrel note coffe mapl delish,0.15430334996209194
Kentucky Brunch Brand Stout,flirtat mapl come crescendo toppl goliath imperi mapl coffe bourbon barrel age stout kentucki brunch brand stout show someth special pour inki impress black brandi equip sticki leg swirl around omin still beer sultri savori ohso seduct scent pull onyxblack beer mouth water scent espresso dark chocol mapl sweet bourbon port wine expectedli sweet toasti malt bring flavor mapledip chocol chocol cover espresso bean bourbon ball candi whiski lace mola bold savori sweet mouth coat middl palat bold stout remain check roasti edg pull sweet espresso roast toasti smoki baker chocol trend spici lightli bitter balanc chest warm offset bourbon caramel vanilla toast oak pepperi whiski flavor closur obvious full rich lavishli malt start finish stout finish dri track offpastri mouthfeel spice light bitter portlik warmth master stout belong lofti pedest,0.34796010286217666
Kentucky Brunch Brand Stout,flirtat mapl come crescendo toppl goliath imperi mapl coffe bourbon barrel age stout kentucki brunch brand stout show someth special pour inki impress black brandi equip sticki leg swirl around omin still beer sultri savori ohso seduct scent pull onyxblack beer mouth water scent espresso dark chocol mapl sweet bourbon port wine expectedli sweet toasti malt bring flavor mapledip chocol chocol cover espresso bean bourbon ball candi whiski lace mola bold savori sweet mouth coat middl palat bold stout remain check roasti edg pull sweet espresso roast toasti smoki baker chocol trend spici lightli bitter balanc chest warm offset bourbon caramel vanilla toast oak pepperi whiski flavor closur obvious full rich lavishli malt start finish stout finish dri track offpastri mouthfeel spice light bitter portlik warmth master stout belong lofti pedest,0.34796010286217666
Kentucky Brunch Brand Stout,tap tg part kbb releas day rate version perfect black color amaz blend rich dessert coffe barrel perfectli complimentari overpow sweet palat rather make teeth hurt mouthfeel thick silki overal one best beer ive,0.09901475429766743
Kentucky Brunch Brand Stout,perfect black color didnt see much foam brown ring smell perfect blend mapl coffe chocol bourbon tast strong mapl almost strong chocol follow coffe bourbon vanilla sweet mouthfeel thick smooth luciou full nice overal wonder beer much mapl flavor one favorit beer,0.21997067253202995
Kentucky Brunch Brand Stout,amaz stout expens worth price,0.0
O.W.K.,amaz,0.0
O.W.K.,cellar year pitch black oili pour head let start mouthfeel basic perfect rich full bodi silk smooth booz warmth perfect level dark wood mild roast rye come togeth help shape complex beauti tast rich chocol fudg black strap mola leather caramel vanilla earth char roast malt prune complex barrel finish complex wood smell barrel forward chocol char vanilla lead complimentari emphas complex deep rich refin realli impress exce hype excit compar bottl,0.1682316462276133
Vanilla Bean Assassin,ever jump beer southeast atl havent beer prefect like assault tast bud,0.0
Vanilla Bean Assassin,fantast vanilla came perfectli beer great thick live hype thick anaz,0.0
Vanilla Bean Assassin,black thick appear head bare even collar lace whiskey barrel mellow nice vanilla la marshmallow milk chocol latt moder thick bodi light carbon delici,0.11322770341445959
Vanilla Bean Assassin,bottl snifter share dc aroma super wow vanilla,0.0
Vanilla Bean Assassin,vintag one follow review highest rate beer ba review highest rate beer cours im excit anoth massiv mileston review beer couldnt think better way celebr legendari beer let pop bad boy open find pour complet pitch black finger frothi light tan head quickli fade thin ring leav minim lace there massiv punch vanilla nose there also nice fruiti complex im pick aroma vanilla bean red grape milk chocol toast oak jammi blackberri mola sweet bourbon burnt caramel brown sugar evolut tast damn tasti front end sip im tast chocol fudg sweet bourbon vanilla bean jammi blackberri raisin toast oak fruiti coffe burnt caramel mola light walnut swallow bring note vanilla extract red grape brown sugar char oak sweet bourbon mola jammi blackberri burnt caramel chocol fudg light fig marshmallow medium full bodi pair gentl tingl carbon result slick beer finish tad sticki doesnt hurt drinkabl beer absolut worthi mileston review aroma bit concern would simplist despit good much vanilla great stuff,0.19395245515057083
Marshmallow Handjee,draft hop pie dark lord day denver better expect smooth light vanilla sweet cloy oz pour perfect,0.280056016805602
Marshmallow Handjee,vintag untappd glad final got tri one worth hype hundr time,0.0
Marshmallow Handjee,omg one finest elixir ive ever tast non exist vanilla face base beer phenomen truli transcend experi wow,0.0
Marshmallow Handjee,draft wink lizard canton,0.0
Abraxas - Barrel-Aged,man brew goodiv want tri year ever sinc origin abraxa back ive pine get hand bottl look standard fare stout dark thick look littl foam speak leg side glass doesnt look sticki appear wise nose freak superb oak chocol cinnamon bourbon roast malt typic remind street cart style pretzel dark fruit like fig warm mild ethanol presenc crazi thing consid tast nearli good nose roast malt chocol cinnamon come togeth decad fashion like malt milk ball cinnamon ice cream sweet think pepper hidden barrel age manifest heat back throat much flavor slight issu astring barrel age sometim barrel roast malt ethanol come togeth creat almost soapi tast feel silght still exist mid palat want flavor crescendo littl harmoni mouthfeel great well thick smooth silki almost fluffi cloy oili tannin astring emerg well offens mild alcohol burn yeah real deal pretti much close perfect brew get dont believ object perfect beer strengthen one aspect might inevit weaken anoth one show true skill care master craft rate websit reason,0.18294043331615062
